Airport,Runway
1. Upington (UTN),16076 (4901 m)
2. Denver (DEN),16000 (4878 m)
3. Harare (HRE),15500 (4726 m)
4. Kinshasa (FIH),15420 (4701 m)
5. Doha (DOH),15000 (4573 m)
6. Windhoek (WDH),14869 (4533 m)
7. Almaty (ALA),14764 (4501 m)
8. New York (JFK),14572 (4443 m)
9. Johannesburg (JNB),14495 (4419 m)
10. Shiraz (SYZ),14220 (4335 m)
11. Mandalay (MDL),14003 (4269 m)
12. Zahedan (ZAH),13993 (4266 m)
13. Hyderabad (HYD),13976 (4261 m)
14. Paris (CDG),13829 (4216 m)
15. Riyadh (RUH),13796 (4206 m)
16. Bishkek (FRU),13780 (4201 m)
17. Kuala Lumpur (KUL),13530 (4125 m)
18. Nairobi (NBO),13507 (4118 m)
19. Amarillo (AMA),13502 (4116 m)
20. Colorado Springs (COS),13501 (4116 m)
21. Abu Dhabi (AUH),13452 (4101 m)
22. Madrid (MAD),13451 (4101 m)
23. Yazd (AZD),13446 (4099 m)
24. Dallas (DFW),13401 (4086 m)
25. Albuquerque (ABQ),13375 (4078 m)
26. Tel Aviv (TLV),13327 (4063 m)
27. Yuma (YUM),13300 (4055 m)
28. Tehran (THR),13248 (4039 m)
29. Singapore (SIN),13200 (4024 m)
30. Jeddah (JED),13124 (4001 m)
31. Lyon (LYS),13124 (4001 m)
32. Basra (BSR),13124 (4001 m)
33. Khabarovsk (KHV),13124 (4001 m)
34. Dammam (DMM),13124 (4001 m)
35. Frankfurt (FRA),13123 (4001 m)
36. Shanghai (PVG),13123 (4001 m)
37. Cairo (CAI),13123 (4001 m)
38. Baghdad (SDA),13123 (4001 m)
39. Athens (ATH),13123 (4001 m)
40. Tokyo (NRT),13123 (4001 m)
41. Havana (HAV),13123 (4001 m)
42. Dubai (DXB),13123 (4001 m)
43. Pyongyang (FNJ),13123 (4001 m)
44. Rio de Janeiro (GIG),13123 (4001 m)
45. La Paz (LPB),13123 (4001 m)
46. Luxembourg (LUX),13123 (4001 m)
47. Lhasa (LXA),13123 (4001 m)
48. Guadalajara (GDL),13123 (4001 m)
49. Gaborone (GBE),13123 (4001 m)
50. Bangalore (BLR),13123 (4001 m)
51. Donetsk (DOK),13123 (4001 m)
52. Al Ain (AAN),13123 (4001 m)
53. Tashkent (TAS),13123 (4001 m)
54. Munich (MUC),13100 (3994 m)
55. Manama (BAH),13005 (3965 m)
56. Chicago (ORD),13000 (3963 m)
57. Sydney (SYD),13000 (3963 m)
58. Miami (MIA),13000 (3963 m)
59. Lusaka (LUN),12998 (3963 m)
60. Mashad (MHD),12877 (3926 m)
61. Milan (MXP),12844 (3916 m)
62. London (LHR),12802 (3903 m)
63. Rome (FCO),12795 (3901 m)
64. Geneva (GVA),12795 (3901 m)
65. Lagos (LOS),12794 (3901 m)
66. Calgary (YYC),12675 (3864 m)
67. Las Vegas (LAS),12636 (3852 m)
68. Yerevan (EVN),12631 (3851 m)
69. Mexico City (MEX),12619 (3847 m)
70. Huntsville (HSV),12600 (3841 m)
71. Cologne (CGN),12516 (3816 m)
72. New Delhi (DEL),12500 (3811 m)
73. Langkawi (LGK),12500 (3811 m)
74. Lisbon (LIS),12484 (3806 m)
75. Ho Chi Minh City (SGN),12468 (3801 m)
76. Amsterdam (AMS),12467 (3801 m)
77. Hong Kong (HKG),12467 (3801 m)
78. Beirut (BEY),12467 (3801 m)
79. Bogota (BOG),12467 (3801 m)
80. Beijing (PEK),12467 (3801 m)
81. Guangzhou (CAN),12467 (3801 m)
82. Ashgabat (ASB),12467 (3801 m)
83. Shenzhen (SZX),12467 (3801 m)
84. Santiago (SCL),12467 (3801 m)
85. Hanover (HAJ),12467 (3801 m)
86. Xining (XNN),12467 (3801 m)
87. Khamis Mushait (KMX),12467 (3801 m)
88. Xian (XIY),12467 (3801 m)
89. Moscow (DME),12448 (3795 m)
90. Kuching (KCH),12402 (3781 m)
91. Kota Kinabalu (BKI),12402 (3781 m)
92. Singapore (QPG),12401 (3781 m)
93. Marquette (MQT),12370 (3771 m)
94. Honolulu (HNL),12360 (3768 m)
95. Ras Al Khaimah (RKT),12336 (3761 m)
96. Seoul (ICN),12303 (3751 m)
97. Ankara (ESB),12303 (3751 m)
98. Taif (TIF),12254 (3736 m)
99. Austin (AUS),12248 (3734 m)
100. Bechar (CBH),12245 (3733 m)
101. Kazan (KZN),12218 (3725 m)
102. Casablanca (CMN),12205 (3721 m)
103. Hail (HAS),12204 (3721 m)
104. Zaragoza (ZAZ),12200 (3720 m)
105. Ontario (ONT),12197 (3719 m)
106. Luanda (LAD),12190 (3716 m)
107. Prague (PRG),12188 (3716 m)
108. Budapest (BUD),12162 (3708 m)
109. Sao Paulo (GRU),12140 (3701 m)
110. Bangkok (BKK),12139 (3701 m)
111. Addis Ababa (ADD),12139 (3701 m)
112. Zurich (ZRH),12139 (3701 m)
113. Durban (DUR),12139 (3701 m)
114. Moscow (SVO),12139 (3701 m)
115. Warsaw (WAW),12106 (3691 m)
116. Cadiz (CDZ),12106 (3691 m)
117. Los Angeles (LAX),12091 (3686 m)
118. Hamburg (HAM),12028 (3667 m)
119. El Paso (ELP),12020 (3665 m)
120. Taipei (TPE),12008 (3661 m)
121. Jakarta (CGK),12008 (3661 m)
122. Maputo (MPM),12008 (3661 m)
123. Kufrah (AKF),12008 (3661 m)
124. Orlando (MCO),12004 (3660 m)
125. Detroit (DTW),12003 (3659 m)
126. Salt Lake City (SLC),12003 (3659 m)
127. Birmingham (BHM),12002 (3659 m)
128. Houston (IAH),12001 (3659 m)
129. Chennai (MAA),12001 (3659 m)
130. Bandar Seri Begawan (BWN),12000 (3659 m)
131. Quetta (UET),12000 (3659 m)
132. Kampala (EBB),12000 (3659 m)
133. Montreal (YMX),12000 (3659 m)
134. Covington (CVG),12000 (3659 m)
135. Melbourne (MEL),11998 (3658 m)
136. Tabriz (TBZ),11995 (3657 m)
137. Paris (ORY),11975 (3651 m)
138. Sharurah (SHW),11975 (3651 m)
139. Minsk (MSQ),11946 (3642 m)
140. Brussels (BRU),11936 (3639 m)
141. Seattle (SEA),11900 (3628 m)
142. Kolkata (CCU),11900 (3628 m)
143. Atlanta (ATL),11889 (3625 m)
144. San Francisco (SFO),11870 (3619 m)
145. Kamishli (KAC),11860 (3616 m)
146. Newburgh (SWF),11817 (3603 m)
147. Jinan (TNA),11814 (3602 m)
148. Damascus (DAM),11811 (3601 m)
149. Tripoli (TIP),11811 (3601 m)
150. Copenhagen (CPH),11811 (3601 m)
151. Oslo (OSL),11811 (3601 m)
152. Vienna (VIE),11811 (3601 m)
153. Sofia (SOF),11811 (3601 m)
154. Chengdu (CTU),11811 (3601 m)
155. Leipzig (LEJ),11811 (3601 m)
156. Urumqi (URC),11811 (3601 m)
157. Ghadames (LTD),11811 (3601 m)
158. Ghat (GHT),11811 (3601 m)
159. Bujumbura (BJM),11811 (3601 m)
160. Banjul (BJL),11811 (3601 m)
161. Misurata (MRA),11811 (3601 m)
162. Ahmedabad (AMD),11811 (3601 m)
163. Haikou (HAK),11811 (3601 m)
164. Hohhot (HET),11811 (3601 m)
165. Hangzhou (HGH),11811 (3601 m)
166. Chongqing (CKG),11811 (3601 m)
167. Nanking (NKG),11811 (3601 m)
168. Abuja (ABV),11808 (3600 m)
169. Novosibirsk (OVB),11808 (3600 m)
170. Panama City (PTY),11800 (3598 m)
171. Tamanrasset (TMR),11800 (3598 m)
172. Fairbanks (FAI),11800 (3598 m)
173. Chisinau (KIV),11779 (3591 m)
174. Sebha (SEB),11778 (3591 m)
175. Muscat (MCT),11758 (3585 m)
176. Benghazi (BEN),11732 (3577 m)
177. Brisbane (BNE),11680 (3561 m)
178. Rio Gallegos (RGL),11639 (3548 m)
179. Malta (MLA),11627 (3545 m)
180. Lilongwe (LLW),11614 (3541 m)
181. Lima (LIM),11506 (3508 m)
182. Washington (IAD),11501 (3506 m)
183. Vancouver (YVR),11500 (3506 m)
184. Pittsburgh (PIT),11500 (3506 m)
185. Lubbock (LBB),11500 (3506 m)
186. Phoenix (PHX),11489 (3503 m)
187. Bucharest (OTP),11484 (3501 m)
188. Astana (TSE),11484 (3501 m)
189. Kuwait (KWI),11483 (3501 m)
190. Kiev (KBP),11483 (3501 m)
191. Algiers (ALG),11483 (3501 m)
192. Rabat (RBA),11483 (3501 m)
193. Kabul (KBL),11483 (3501 m)
194. Vladivostok (VVO),11483 (3501 m)
195. Caracas (CCS),11483 (3501 m)
196. Cancun (CUN),11483 (3501 m)
197. Santa Cruz (VVI),11483 (3501 m)
198. Marseille (MRS),11483 (3501 m)
199. Da Nang (DAD),11483 (3501 m)
200. Walvis Bay (WVB),11483 (3501 m)
201. Mariscal Estigarribia (ESG),11483 (3501 m)
202. Pointe-a-Pitre (PTP),11483 (3501 m)
203. Timisoara (TSR),11483 (3501 m)
204. Kigali (KGL),11482 (3501 m)
205. Toulouse (TLS),11482 (3501 m)
206. Dakar (DKR),11450 (3491 m)
207. Prince George (YXS),11450 (3491 m)
208. Bangor (BGR),11440 (3488 m)
209. Porto (OPO),11417 (3481 m)
210. Paramaribo (PBM),11417 (3481 m)
211. Osaka (KIX),11400 (3476 m)
212. Goa (GOI),11345 (3459 m)
213. Magadan (GDX),11326 (3453 m)
214. Mumbai (BOM),11302 (3446 m)
215. Perth (PER),11299 (3445 m)
216. Helsinki (HEL),11286 (3441 m)
217. Norilsk (NSK),11254 (3431 m)
218. Macau (MFM),11221 (3421 m)
219. Papeete (PPT),11220 (3421 m)
220. Indianapolis (IND),11200 (3415 m)
221. Manila (MNL),11188 (3411 m)
222. Curacao (CUR),11188 (3411 m)
223. Fuerteventura (FUE),11175 (3407 m)
224. Accra (ACC),11165 (3404 m)
225. Aswan (ASW),11161 (3403 m)
226. Antalya (AYT),11155 (3401 m)
227. Karachi (KHI),11155 (3401 m)
228. Saint Petersburg (LED),11155 (3401 m)
229. Belgrade (BEG),11155 (3401 m)
230. Yakutsk (YKS),11155 (3401 m)
231. Kunming (KMG),11155 (3401 m)
232. Xiamen (XMN),11155 (3401 m)
233. Petropavlovsk (PKC),11155 (3401 m)
234. Nanchang (KHN),11155 (3401 m)
235. Zhengzhou (CGO),11155 (3401 m)
